Logo,Main_Color_RGB,Color_Group
aamcoseguin.png,"(183, 22, 28)",firebrick
abc-autoglas.png,"(4, 124, 204)",dodgerblue
accelltherapy.png,"(234, 35, 41)",crimson
actemium.png,"(191, 211, 45)",yellowgreen
adlatus-nordwestschweiz.png,"(4, 84, 156)",teal
adra.png,"(4, 132, 108)",teal
advantisengineering.png,"(203, 203, 204)",lightgray
affinitynonprofits.png,"(10, 150, 155)",darkcyan
aiesec.png,"(187, 210, 252)",lightblue
airbnb.png,"(250, 59, 92)",tomato
ajas.png,"(4, 92, 236)",dodgerblue
albatroslogistic.png,"(10, 39, 126)",midnightblue
algeco.png,"(4, 52, 100)",midnightblue
allianzim.png,"(20, 59, 136)",midnightblue
allianzlifechanger.png,"(37, 77, 157)",darkslateblue
alosindustrials.png,"(160, 92, 94)",indianred
altengt.png,"(234, 28, 36)",crimson
amtrakvacations.png,"(4, 84, 124)",teal
amway.png,"(5, 5, 5)",black
analytik-jena.png,"(228, 4, 12)",red
anderson-negele-gmbh.png,"(4, 84, 172)",teal
aon.png,"(236, 4, 20)",red
apexdynamicsgermany.png,"(224, 223, 234)",gainsboro
applebees.png,"(204, 220, 44)",greenyellow
ardex.png,"(17, 81, 118)",darkslategray
arkaybeverages.png,"(23, 24, 24)",black
asendia.png,"(252, 236, 4)",yellow
aspenpharma.png,"(36, 60, 124)",midnightblue
astreitalia.png,"(4, 68, 148)",midnightblue
atalian.png,"(236, 243, 244)",whitesmoke
attijariwafabank.png,"(18, 18, 26)",black
avia.png,"(228, 4, 12)",red
avon.png,"(227, 4, 76)",crimson
axa.png,"(4, 4, 140)",darkblue
azets.png,"(36, 212, 124)",mediumseagreen
batistareisfloresonline.png,"(92, 52, 44)",darkolivegreen
bauermedia.png,"(252, 12, 20)",red
baywa-re.png,"(44, 44, 44)",darkslategray
bbraun.png,"(4, 180, 124)",darkcyan
bcurelaser.png,"(100, 68, 164)",darkslateblue
bellaplanta.png,"(124, 204, 44)",yellowgreen
berlitz-augsburg.png,"(224, 227, 229)",gainsboro
bigfootdigital.png,"(221, 221, 221)",gainsboro
bimeda.png,"(36, 4, 140)",darkblue
bioderma.png,"(188, 204, 220)",lightsteelblue
bluecardagency.png,"(4, 172, 212)",darkturquoise
bmw-motorrad-euromotos-lyon.png,"(20, 100, 180)",steelblue
bnpparibasdeveloppement.png,"(41, 159, 116)",mediumseagreen
bonprix.png,"(34, 34, 34)",black
bosch-industry-consulting.png,"(92, 92, 92)",dimgray
boxful.png,"(4, 196, 180)",darkturquoise
budatec.png,"(4, 4, 155)",darkblue
buffalotours.png,"(178, 186, 117)",darkkhaki
buydaikin.png,"(4, 156, 220)",dodgerblue
camesoluciones.png,"(28, 28, 28)",black
canonburgos.png,"(183, 56, 60)",brown
cardif.png,"(233, 238, 237)",lavender
casaaurorasupermercados.png,"(233, 156, 54)",goldenrod
catsprotectionshop.png,"(19, 57, 128)",midnightblue
ccusa.png,"(237, 243, 227)",beige
cdlcampina.png,"(22, 74, 142)",darkslateblue
cdu-aldenhoven.png,"(247, 184, 50)",goldenrod
cdvielectronics.png,"(12, 60, 116)",midnightblue
cedstone.png,"(201, 220, 228)",gainsboro
cgparivarconstruction.png,"(31, 114, 181)",steelblue
chauffeurstelefoon.png,"(248, 237, 235)",linen
childrenandteendentalfl.png,"(75, 164, 207)",cornflowerblue
cinnabonrussia.png,"(18, 26, 72)",midnightblue
citychain.png,"(23, 23, 23)",black
clarksonhyde.png,"(6, 69, 125)",midnightblue
clearblueionizer.png,"(205, 205, 205)",lightgray
colorflexpackaging.png,"(30, 30, 165)",darkblue
compo.png,"(8, 140, 66)",forestgreen
countryroadsford.png,"(9, 16, 95)",midnightblue
cpi-print.png,"(4, 4, 4)",black
crocssa.png,"(131, 163, 67)",olivedrab
cubcadet.png,"(20, 20, 28)",black
culligandesmoines.png,"(44, 100, 244)",royalblue
customneon.png,"(84, 100, 252)",royalblue
cvjm-pfalz.png,"(192, 6, 59)",crimson
dahmira.png,"(91, 105, 78)",dimgray
daikincareers.png,"(4, 163, 227)",deepskyblue
decathlonkz.png,"(52, 68, 188)",darkslateblue
deheus.png,"(224, 240, 212)",gainsboro
demetercs.png,"(234, 113, 6)",darkorange
dennert.png,"(4, 52, 148)",midnightblue
deprag.png,"(44, 163, 67)",seagreen
dertour.png,"(228, 4, 44)",crimson
designmehair.png,"(4, 4, 4)",black
dhirajsonsonline.png,"(63, 55, 131)",darkslateblue
dilmahtea.png,"(7, 124, 130)",teal
dolcevita.png,"(4, 4, 4)",black
domcortraffic.png,"(200, 190, 174)",silver
dopplerumbrellas.png,"(160, 45, 52)",brown
drekopf-kanalservice.png,"(4, 108, 44)",forestgreen
dulux.png,"(4, 43, 108)",midnightblue
duraclean.png,"(193, 196, 200)",silver
ebay.png,"(125, 188, 35)",yellowgreen
ecaas.png,"(205, 200, 189)",silver
ecochillers.png,"(28, 152, 70)",seagreen
edenredrewards.png,"(244, 37, 21)",orangered
educab.png,"(153, 36, 100)",purple
eftech-international.png,"(87, 120, 116)",dimgray
einhell.png,"(228, 4, 20)",red
ekartlogistics.png,"(250, 180, 10)",orange
elderhouseadc.png,"(19, 80, 149)",teal
engenmauritius.png,"(5, 44, 138)",midnightblue
entergy-neworleans.png,"(242, 28, 104)",deeppink
equansservices.png,"(242, 248, 248)",whitesmoke
ercagroup.png,"(128, 131, 133)",gray
eresrelocation.png,"(12, 140, 164)",darkcyan
eurofinsfoodtesting.png,"(8, 59, 129)",midnightblue
experian.png,"(26, 102, 168)",steelblue
fainvestors.png,"(149, 151, 151)",darkgray
filterteknik.png,"(245, 204, 207)",pink
fimacf.png,"(228, 4, 20)",red
fitness4homesuperstore.png,"(155, 28, 36)",brown
flashbay.png,"(116, 70, 80)",dimgray
flesan.png,"(252, 9, 9)",red
fluidmasteruk.png,"(228, 28, 36)",crimson
fmc-mexico.png,"(4, 60, 156)",midnightblue
fordmediacenter.png,"(38, 61, 92)",darkslategray
fortprousa.png,"(146, 147, 154)",lightslategray
fosterfarmsfoodservice.png,"(241, 212, 34)",gold
foxinabox.png,"(244, 117, 31)",chocolate
freeportwestselfstorage.png,"(34, 21, 85)",midnightblue
furuno.png,"(12, 60, 172)",darkslateblue
future-x.png,"(228, 4, 20)",red
getscsadmin.png,"(209, 115, 119)",palevioletred
glamsmile.png,"(20, 84, 92)",darkslategray
glintinc.png,"(244, 84, 36)",tomato
gotchateausa.png,"(189, 210, 116)",darkkhaki
gracehomes.png,"(167, 146, 151)",rosybrown
grantthornton.png,"(90, 46, 128)",darkslateblue
grupointexa.png,"(84, 84, 92)",dimgray
gs1.png,"(211, 65, 58)",indianred
gulf.png,"(252, 99, 28)",orangered
gwaliasweets.png,"(238, 64, 53)",tomato
h2oinnovation.png,"(4, 180, 220)",darkturquoise
habitat.png,"(4, 4, 4)",black
hansa-flex.png,"(244, 188, 190)",lightpink
harigmfg.png,"(229, 242, 239)",lavender
heliosstrategia.png,"(203, 26, 28)",firebrick
hendersonkyedc.png,"(84, 100, 44)",darkolivegreen
hertz.png,"(252, 212, 12)",gold
heydudeshoes.png,"(68, 36, 36)",darkslategray
hometowninsurance.png,"(9, 9, 9)",black
hondabintang.png,"(243, 240, 239)",whitesmoke
howdensafetysolutions.png,"(4, 156, 220)",dodgerblue
